"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 05월 28일","64.50","63.04","64.50","63.04","-","2.07%"
"2015년 05월 27일","63.19","63.34","63.83","63.04","-","-0.29%"
"2015년 05월 26일","63.38","63.37","64.64","63.28","-","0.07%"
"2015년 05월 22일","63.33","63.72","64.07","63.29","-","-0.71%"
"2015년 05월 21일","63.78","64.18","64.92","63.63","-","-0.69%"
"2015년 05월 20일","64.23","64.26","64.75","63.72","-","-0.26%"
"2015년 05월 19일","64.40","64.89","65.22","64.06","-","-0.76%"
"2015년 05월 18일","64.89","66.85","66.92","64.88","-","-2.54%"
"2015년 05월 15일","66.58","66.60","66.87","66.13","-","0.15%"
"2015년 05월 14일","66.49","65.86","66.71","65.60","-","1.13%"
"2015년 05월 13일","65.74","65.18","65.80","64.86","-","0.84%"
"2015년 05월 12일","65.19","65.45","65.58","64.58","-","-0.43%"
"2015년 05월 11일","65.47","66.10","66.31","64.67","-","-0.99%"
"2015년 05월 08일","66.13","65.52","66.21","65.30","-","0.81%"
"2015년 05월 07일","65.60","66.07","66.07","64.97","-","-0.61%"
"2015년 05월 06일","66.00","66.33","66.67","65.59","-","-0.57%"
"2015년 05월 05일","66.38","66.60","66.93","66.13","-","-0.55%"
"2015년 05월 04일","66.75","66.53","66.76","65.83","-","0.54%"
"2015년 05월 01일","66.39","67.83","68.13","65.73","-","-1.88%"
"2015년 04월 30일","67.66","67.38","68.06","67.36","-","0.62%"
"2015년 04월 29일","67.24","66.49","67.29","66.06","-","1.65%"
"2015년 04월 28일","66.15","66.11","67.07","65.61","-","0.02%"
"2015년 04월 27일","66.14","66.55","67.50","65.92","-","-0.26%"
"2015년 04월 24일","66.31","65.63","66.59","65.23","-","1.37%"
"2015년 04월 23일","65.42","62.81","65.70","62.78","-","3.69%"
"2015년 04월 22일","63.09","63.03","63.43","62.36","-","0.09%"
"2015년 04월 21일","63.03","63.16","63.49","62.87","-","-0.46%"
