"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 10월 26일","215.00","210.50","216.50","210.25","0.31K","1.42%"
"2016년 10월 25일","212.00","213.50","216.00","210.50","0.45K","-0.59%"
"2016년 10월 24일","213.25","218.00","219.00","212.50","0.71K","-2.29%"
"2016년 10월 21일","218.25","210.75","218.75","209.25","0.73K","3.68%"
"2016년 10월 20일","210.50","208.75","212.50","205.75","0.67K","0.72%"
"2016년 10월 19일","209.00","203.75","209.25","202.50","0.77K","2.58%"
"2016년 10월 18일","203.75","199.75","205.75","197.50","1.18K","1.88%"
"2016년 10월 17일","200.00","198.25","202.25","197.00","0.40K","0.63%"
"2016년 10월 14일","198.75","196.25","200.00","195.75","0.35K","1.53%"
"2016년 10월 13일","195.75","197.75","199.50","191.00","0.86K","-1.14%"
"2016년 10월 12일","198.00","199.00","203.00","197.50","0.86K","-0.50%"
"2016년 10월 11일","199.00","197.75","201.75","196.50","0.90K","1.02%"
"2016년 10월 10일","197.00","193.00","198.00","192.25","0.90K","3.28%"
"2016년 10월 07일","190.75","188.00","194.25","188.00","0.95K","1.60%"
"2016년 10월 06일","187.75","184.25","189.00","182.75","0.64K","2.04%"
"2016년 10월 05일","184.00","182.00","184.00","179.25","0.51K","1.52%"
"2016년 10월 04일","181.25","183.00","183.50","180.50","0.41K","-0.96%"
"2016년 10월 03일","183.00","178.75","183.75","178.50","0.81K","2.66%"
"2016년 09월 30일","178.25","176.25","180.00","173.50","0.59K","1.28%"
"2016년 09월 29일","176.00","174.00","177.00","174.00","0.46K","1.15%"
"2016년 09월 28일","174.00","175.00","175.25","174.00","0.13K","-0.29%"
"2016년 09월 27일","174.50","174.00","175.25","172.50","0.15K","0.72%"
"2016년 09월 26일","173.25","176.00","177.50","172.00","0.26K","-2.12%"
"2016년 09월 23일","177.00","176.75","178.00","176.25","0.25K","-0.14%"
"2016년 09월 22일","177.25","176.50","178.00","176.50","0.13K","0.57%"
"2016년 09월 21일","176.25","174.50","178.00","174.50","0.45K","0.71%"
"2016년 09월 20일","175.00","173.75","175.75","173.00","0.29K","1.16%"
"2016년 09월 19일","173.00","176.50","177.00","172.75","0.35K","-1.56%"
"2016년 09월 16일","175.75","172.75","176.50","172.25","0.34K","1.59%"
"2016년 09월 15일","173.00","174.75","174.75","172.50","0.22K","3.90%"
