"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2012년 02월 13일","698.00","703.10","706.60","696.10","-","-0.74%"
"2012년 02월 10일","703.20","711.30","711.30","695.40","-","-1.17%"
"2012년 02월 09일","711.50","714.80","718.80","708.20","-","-0.49%"
"2012년 02월 08일","715.00","708.80","717.00","704.70","-","0.89%"
"2012년 02월 07일","708.70","705.20","710.10","696.20","-","0.48%"
"2012년 02월 06일","705.30","706.40","707.90","693.30","-","-0.33%"
"2012년 02월 03일","707.60","709.70","716.00","705.00","-","-0.28%"
"2012년 02월 02일","709.60","697.70","709.60","693.10","-","1.72%"
"2012년 02월 01일","697.60","685.30","698.90","684.40","-","1.81%"
"2012년 01월 31일","685.20","689.20","697.00","684.50","-","-0.59%"
"2012년 01월 30일","689.30","691.40","691.70","679.80","-","-0.19%"
"2012년 01월 27일","690.60","691.00","694.50","681.50","-","-0.12%"
"2012년 01월 26일","691.40","694.40","702.00","688.60","-","-0.40%"
"2012년 01월 25일","694.20","682.10","696.20","670.90","-","1.76%"
"2012년 01월 24일","682.20","688.00","690.00","670.40","-","-0.86%"
"2012년 01월 23일","688.10","673.80","689.00","673.80","-","1.46%"
"2012년 01월 20일","678.20","674.50","679.30","663.80","-","0.44%"
"2012년 01월 19일","675.20","667.90","682.80","667.10","-","1.03%"
"2012년 01월 18일","668.30","653.00","671.00","646.00","-","2.36%"
"2012년 01월 17일","652.90","642.10","663.70","642.10","-","1.73%"
"2012년 01월 16일","641.80","635.30","644.10","631.50","-","0.31%"
"2012년 01월 13일","639.80","635.40","640.90","623.60","-","0.74%"
"2012년 01월 12일","635.10","644.60","649.00","630.60","-","-1.32%"
"2012년 01월 11일","643.60","637.90","648.90","632.00","-","1.05%"
"2012년 01월 10일","636.90","619.50","645.20","619.50","-","2.73%"
"2012년 01월 09일","620.00","612.50","620.80","609.30","-","0.63%"
"2012년 01월 06일","616.10","639.70","642.40","612.60","-","-3.79%"
"2012년 01월 05일","640.40","649.70","657.60","635.80","-","-1.46%"
"2012년 01월 04일","649.90","664.90","668.10","646.10","-","-2.24%"
"2012년 01월 03일","664.80","656.60","671.30","651.40","-","1.42%"
"2012년 01월 02일","655.50","656.30","657.50","654.70","-","-0.12%"
"2011년 12월 30일","656.30","631.70","657.90","626.30","-","3.91%"
"2011년 12월 29일","631.60","636.90","639.10","622.10","-","-1.13%"
"2011년 12월 28일","638.80","662.60","667.20","631.60","-","-3.65%"
"2011년 12월 27일","663.00","658.50","668.80","651.80","-","0.73%"
"2011년 12월 26일","658.20","663.20","663.40","658.20","-","-1.10%"
"2011년 12월 23일","665.55","664.95","665.05","664.95","0.00K","2.01%"
"2011년 12월 22일","652.45","632.00","650.80","632.00","0.00K","2.60%"
"2011년 12월 21일","635.90","625.70","641.50","623.80","-","1.48%"
"2011년 12월 20일","626.65","622.45","622.45","622.45","0.01K","2.93%"
"2011년 12월 19일","608.80","626.00","630.00","608.60","-","-2.38%"
"2011년 12월 16일","623.65","622.60","623.45","622.30","0.02K","0.78%"
"2011년 12월 15일","618.85","614.70","615.00","614.60","0.01K","0.19%"
"2011년 12월 14일","617.70","617.35","617.35","614.00","0.02K","-6.71%"
"2011년 12월 13일","662.15","663.70","663.70","663.70","0.00K","0.17%"
"2011년 12월 12일","661.00","655.60","655.60","655.60","0.00K","-3.53%"
"2011년 12월 09일","685.20","674.00","688.70","660.70","-","1.78%"
"2011년 12월 08일","673.20","668.55","668.55","668.55","0.01K","-1.46%"
"2011년 12월 07일","683.20","680.00","680.60","674.90","0.04K","2.18%"
"2011년 12월 06일","668.60","642.10","668.00","638.35","0.05K","3.74%"
"2011년 12월 05일","644.50","645.35","649.45","638.10","0.05K","0.14%"
"2011년 12월 02일","643.60","638.80","660.70","638.80","0.02K","2.54%"
"2011년 12월 01일","627.65","616.05","643.80","605.75","0.13K","2.89%"
"2011년 11월 30일","610.00","587.00","624.90","569.55","0.22K","4.86%"
"2011년 11월 29일","581.75","579.00","587.95","577.00","2.12K","0.59%"
"2011년 11월 28일","578.35","565.60","595.00","565.60","3.87K","1.98%"
"2011년 11월 25일","567.10","578.60","585.90","566.10","-","-2.06%"
"2011년 11월 24일","579.00","583.70","590.20","574.30","-","-0.79%"
"2011년 11월 23일","583.60","603.50","606.50","580.60","-","-3.33%"
"2011년 11월 22일","603.70","585.10","609.20","584.90","-","2.60%"
"2011년 11월 21일","588.40","601.40","605.10","582.60","-","-2.44%"
"2011년 11월 18일","603.10","611.00","615.40","597.50","-","-0.08%"
"2011년 11월 17일","603.60","642.15","642.15","606.90","0.00K","-7.76%"
