"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 09월 16일","156.20","156.40","156.45","154.80","11.60K","-0.10%"
"2014년 09월 15일","156.35","157.00","157.35","155.47","18.01K","0.04%"
"2014년 09월 12일","156.28","157.53","158.28","156.05","31.38K","-0.70%"
"2014년 09월 11일","157.38","159.95","160.03","157.25","28.64K","-1.45%"
"2014년 09월 10일","159.70","160.43","161.75","157.95","42.33K","0.01%"
"2014년 09월 09일","159.68","158.57","160.45","158.47","31.98K","0.73%"
"2014년 09월 08일","158.53","160.05","160.30","158.20","36.07K","-0.76%"
"2014년 09월 05일","159.75","157.75","160.05","157.28","27.41K","1.72%"
"2014년 09월 04일","157.05","155.95","158.43","155.50","51.91K","1.04%"
"2014년 09월 03일","155.43","152.93","155.43","152.80","28.19K","1.97%"
"2014년 09월 02일","152.43","151.85","154.05","151.75","27.33K","-2.23%"
"2014년 08월 29일","155.90","154.93","156.20","153.50","-","0.81%"
"2014년 08월 28일","154.65","153.15","155.43","153.07","1.08K","0.95%"
"2014년 08월 27일","153.20","153.30","153.50","152.80","0.92K","-0.23%"
"2014년 08월 26일","153.55","152.65","153.57","152.40","1.57K","0.52%"
"2014년 08월 25일","152.75","151.65","152.75","151.62","1.59K","0.59%"
"2014년 08월 22일","151.85","149.68","151.85","149.60","1.65K","1.47%"
"2014년 08월 21일","149.65","149.20","149.65","148.05","2.14K","0.27%"
"2014년 08월 20일","149.25","149.97","149.97","147.75","2.32K","-0.83%"
"2014년 08월 19일","150.50","151.47","151.97","149.80","2.04K","-0.73%"
"2014년 08월 18일","151.60","150.80","151.75","150.00","1.21K","0.66%"
"2014년 08월 15일","150.60","149.85","151.22","149.65","1.51K","0.40%"
"2014년 08월 14일","150.00","148.22","150.00","148.10","2.88K","1.20%"
"2014년 08월 13일","148.22","149.30","149.50","146.80","3.91K","-0.94%"
"2014년 08월 12일","149.62","152.50","152.60","149.62","2.79K","-1.97%"
"2014년 08월 11일","152.62","151.28","153.45","150.50","5.46K","0.05%"
"2014년 08월 08일","152.55","155.15","155.43","152.55","4.51K","-1.93%"
"2014년 08월 07일","155.55","158.30","158.85","155.55","9.09K","-1.89%"
"2014년 08월 06일","158.55","158.40","158.75","157.30","3.91K","0.06%"
"2014년 08월 05일","158.45","158.50","159.25","157.95","4.18K","0.15%"
"2014년 08월 04일","158.22","157.30","158.95","156.25","9.88K","0.58%"
"2014년 08월 01일","157.30","157.53","157.72","155.30","15.51K","-0.40%"
"2014년 07월 31일","157.93","160.12","160.18","157.50","12.59K","-1.20%"
"2014년 07월 30일","159.85","158.93","160.12","158.65","10.38K","0.67%"
"2014년 07월 29일","158.78","159.30","159.60","158.40","9.99K","-0.17%"
"2014년 07월 28일","159.05","159.93","160.25","158.15","13.87K","-0.03%"
"2014년 07월 25일","159.10","156.97","159.10","156.45","13.48K","1.63%"
"2014년 07월 24일","156.55","156.65","158.65","155.35","22.72K","0.32%"
"2014년 07월 23일","156.05","156.70","157.57","154.62","24.78K","0.06%"
"2014년 07월 22일","155.95","153.20","155.95","153.18","21.54K","1.96%"
"2014년 07월 21일","152.95","151.80","153.32","151.25","15.75K","0.88%"
"2014년 07월 18일","151.62","150.40","152.03","150.20","23.16K","0.64%"
"2014년 07월 17일","150.65","149.20","150.68","149.10","26.77K","2.01%"
"2014년 07월 16일","147.68","148.50","149.30","147.28","24.26K","-0.60%"
"2014년 07월 15일","148.57","148.25","148.88","147.65","20.38K","0.52%"
"2014년 07월 14일","147.80","149.20","149.35","147.28","31.42K","-0.89%"
"2014년 07월 11일","149.12","148.20","149.57","146.57","40.29K","0.65%"
"2014년 07월 10일","148.15","151.28","151.62","147.95","44.84K","-1.76%"
"2014년 07월 09일","150.80","153.60","155.38","150.53","50.59K","-1.78%"
"2014년 07월 08일","153.53","154.90","155.32","152.97","36.47K","-0.92%"
"2014년 07월 07일","154.95","155.80","156.50","154.28","27.88K","-0.03%"
"2014년 07월 03일","155.00","155.05","155.32","154.07","28.12K","1.76%"
"2014년 07월 02일","152.32","151.62","154.50","151.07","33.64K","0.54%"
"2014년 07월 01일","151.50","150.38","151.93","150.38","23.78K","-0.98%"
"2014년 06월 30일","153.00","153.75","154.22","151.72","0.58K","0.49%"
"2014년 06월 27일","152.25","154.07","154.07","151.95","2.08K","-0.98%"
"2014년 06월 26일","153.75","152.00","154.10","152.00","1.62K","1.18%"
"2014년 06월 25일","151.95","151.20","152.65","150.82","1.45K","0.53%"
"2014년 06월 24일","151.15","148.15","151.15","147.90","2.07K","2.02%"
"2014년 06월 23일","148.15","147.55","148.28","147.55","1.62K","0.41%"
"2014년 06월 20일","147.55","148.00","148.45","146.70","2.21K","-0.30%"
"2014년 06월 19일","148.00","146.47","148.43","146.45","3.86K","1.44%"
"2014년 06월 18일","145.90","146.50","146.90","144.85","3.12K","-0.41%"
"2014년 06월 17일","146.50","147.70","148.65","146.45","3.76K","-0.64%"
"2014년 06월 16일","147.45","147.93","147.93","147.10","2.90K","-0.10%"
"2014년 06월 13일","147.60","146.50","147.88","145.60","4.55K","1.10%"
"2014년 06월 12일","146.00","143.43","146.03","143.12","6.64K","2.08%"
"2014년 06월 11일","143.03","143.65","144.07","142.88","4.85K","-0.33%"
"2014년 06월 10일","143.50","143.05","143.80","142.35","6.68K","0.48%"
"2014년 06월 09일","142.82","140.97","143.10","140.82","12.85K","1.93%"
"2014년 06월 06일","140.12","139.50","140.93","139.22","17.63K","0.44%"
"2014년 06월 05일","139.50","138.28","139.80","138.18","15.36K","1.09%"
"2014년 06월 04일","138.00","138.40","138.68","137.50","17.31K","-0.25%"
"2014년 06월 03일","138.35","137.90","138.85","137.85","13.66K","0.47%"
"2014년 06월 02일","137.70","137.78","138.10","137.40","13.80K","-0.07%"
"2014년 05월 30일","137.80","138.35","138.53","137.43","9.66K","-0.17%"
"2014년 05월 29일","138.03","136.57","138.70","136.47","18.18K","1.38%"
"2014년 05월 28일","136.15","135.70","136.47","135.47","9.85K","0.41%"
"2014년 05월 27일","135.60","136.40","136.50","135.40","12.31K","-0.51%"
"2014년 05월 23일","136.30","137.60","137.70","136.25","12.76K","-0.94%"
"2014년 05월 22일","137.60","138.50","138.55","137.00","13.59K","-0.49%"
"2014년 05월 21일","138.28","138.88","139.15","138.07","11.79K","-0.34%"
"2014년 05월 20일","138.75","139.55","139.60","138.57","14.26K","-0.47%"
"2014년 05월 19일","139.40","137.78","139.88","137.50","26.87K","1.09%"
"2014년 05월 16일","137.90","137.62","137.95","137.10","14.77K","0.36%"
"2014년 05월 15일","137.40","137.60","137.78","136.62","27.75K","-0.04%"
"2014년 05월 14일","137.45","137.00","138.18","136.82","27.45K","0.33%"
"2014년 05월 13일","137.00","137.75","137.85","136.80","42.30K","-0.47%"
"2014년 05월 12일","137.65","138.40","138.70","137.57","34.81K","-0.29%"
"2014년 05월 09일","138.05","138.10","138.55","137.40","33.36K","0.09%"
"2014년 05월 08일","137.93","137.78","138.15","137.50","22.09K","0.26%"
"2014년 05월 07일","137.57","138.18","139.00","137.30","30.57K","-0.53%"
"2014년 05월 06일","138.30","137.75","138.57","137.65","22.44K","0.56%"
"2014년 05월 05일","137.53","138.50","138.78","137.40","16.78K","-0.38%"
"2014년 05월 02일","138.05","139.38","139.95","137.88","29.98K","-0.86%"
"2014년 05월 01일","139.25","137.15","139.50","137.05","37.78K","-4.51%"
"2014년 04월 30일","145.82","145.40","148.50","144.90","1.03K","0.22%"
"2014년 04월 29일","145.50","145.50","145.60","144.85","2.65K","0.07%"
"2014년 04월 28일","145.40","145.40","145.95","145.00","3.78K","0.28%"
"2014년 04월 25일","145.00","144.65","145.10","143.85","3.59K","0.52%"
"2014년 04월 24일","144.25","143.85","144.70","143.60","1.95K","0.22%"
"2014년 04월 23일","143.93","143.47","144.00","143.07","1.94K","0.16%"
"2014년 04월 22일","143.70","143.40","144.25","143.15","3.71K","0.17%"
