"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 08월 17일","10,590.00","10,605.00","10,685.00","10,535.00","-","-0.28%"
"2015년 08월 14일","10,620.00","10,420.00","10,630.00","10,420.00","-","1.87%"
"2015년 08월 13일","10,425.00","10,595.00","10,705.00","10,405.00","-","-1.60%"
"2015년 08월 12일","10,595.00","10,725.00","10,730.00","9,900.00","-","-0.98%"
"2015년 08월 11일","10,700.00","11,160.00","11,270.00","10,665.00","-","-4.21%"
"2015년 08월 10일","11,170.00","10,765.00","11,215.00","10,765.00","-","3.43%"
"2015년 08월 07일","10,800.00","10,840.00","10,965.00","10,750.00","-","-0.37%"
"2015년 08월 06일","10,840.00","10,820.00","10,975.00","10,800.00","-","0.18%"
"2015년 08월 05일","10,820.00","10,830.00","10,975.00","10,775.00","-","-0.09%"
"2015년 08월 04일","10,830.00","10,745.00","10,960.00","10,705.00","-","0.79%"
"2015년 08월 03일","10,745.00","11,010.00","11,035.00","10,655.00","-","-2.80%"
"2015년 07월 31일","11,055.00","10,990.00","11,145.00","10,875.00","-","0.45%"
"2015년 07월 30일","11,005.00","11,230.00","11,350.00","10,955.00","-","-2.00%"
"2015년 07월 29일","11,230.00","11,260.00","11,400.00","11,130.00","-","-0.27%"
"2015년 07월 28일","11,260.00","10,930.00","11,340.00","10,930.00","-","2.55%"
"2015년 07월 27일","10,980.00","11,365.00","11,390.00","10,905.00","-","-2.96%"
"2015년 07월 24일","11,315.00","11,350.00","11,405.00","11,180.00","-","-0.79%"
"2015년 07월 23일","11,405.00","11,450.00","11,480.00","11,305.00","-","-0.39%"
"2015년 07월 22일","11,450.00","11,625.00","11,720.00","11,430.00","-","-1.55%"
"2015년 07월 21일","11,630.00","11,700.00","11,970.00","11,605.00","-","-0.43%"
"2015년 07월 20일","11,680.00","11,440.00","11,725.00","11,395.00","-","2.23%"
"2015년 07월 17일","11,425.00","11,530.00","11,590.00","11,405.00","-","-1.25%"
"2015년 07월 16일","11,570.00","11,460.00","11,675.00","11,340.00","-","0.96%"
"2015년 07월 15일","11,460.00","11,550.00","11,870.00","11,450.00","-","-0.82%"
"2015년 07월 14일","11,555.00","11,575.00","11,640.00","11,390.00","-","-0.17%"
"2015년 07월 13일","11,575.00","11,180.00","11,680.00","10,855.00","-","3.39%"
"2015년 07월 10일","11,195.00","11,410.00","11,655.00","11,165.00","-","-2.18%"
