"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 04월 14일","373.50","371.00","374.75","370.00","173.03K","0.81%"
"2015년 04월 13일","370.50","375.00","376.00","370.25","184.71K","-1.72%"
"2015년 04월 10일","377.00","378.25","379.50","374.25","196.23K","-0.26%"
"2015년 04월 09일","378.00","379.00","380.00","375.00","198.13K","-0.33%"
"2015년 04월 08일","379.25","383.25","385.00","376.75","214.36K","-0.98%"
"2015년 04월 07일","383.00","385.00","387.25","382.00","99.16K","-0.52%"
"2015년 04월 06일","385.00","386.25","390.00","383.50","84.78K","-0.39%"
"2015년 04월 03일","386.50","386.50","386.50","386.50","-","0.00%"
"2015년 04월 02일","386.50","381.75","388.50","378.25","177.88K","1.24%"
"2015년 04월 01일","381.75","377.00","382.25","374.00","221.06K","1.46%"
"2015년 03월 31일","376.25","394.00","398.50","375.25","349.25K","-4.63%"
"2015년 03월 30일","394.50","391.50","395.00","390.00","175.82K","0.90%"
"2015년 03월 27일","391.00","391.00","393.50","389.25","136.75K","-0.06%"
"2015년 03월 26일","391.25","394.00","397.00","389.25","156.06K","-0.95%"
"2015년 03월 25일","395.00","392.75","395.75","391.50","150.27K","0.45%"
"2015년 03월 24일","393.25","389.25","393.75","388.50","135.28K","0.77%"
"2015년 03월 23일","390.25","385.00","391.75","385.00","160.88K","1.36%"
"2015년 03월 20일","385.00","373.50","387.50","372.75","211.23K","3.08%"
"2015년 03월 19일","373.50","377.50","380.50","370.50","152.29K","-0.33%"
"2015년 03월 18일","374.75","371.50","375.25","367.00","146.49K","1.01%"
"2015년 03월 17일","371.00","379.00","379.75","370.00","175.67K","-2.11%"
"2015년 03월 16일","379.00","380.75","382.25","375.50","145.23K","1.34%"
"2015년 03월 13일","374.00","383.25","383.75","375.25","0.46K","-2.16%"
"2015년 03월 12일","382.25","384.00","384.75","380.00","1.24K","-0.46%"
"2015년 03월 11일","384.00","382.25","387.75","381.50","1.61K","0.46%"
"2015년 03월 10일","382.25","383.00","384.50","377.00","4.13K","-0.26%"
"2015년 03월 09일","383.25","379.25","384.75","379.25","1.90K","1.05%"
"2015년 03월 06일","379.25","381.00","382.50","376.50","4.63K","-0.91%"
"2015년 03월 05일","382.75","381.25","384.75","380.00","6.37K","0.33%"
"2015년 03월 04일","381.50","382.00","382.75","378.00","10.63K","-0.13%"
"2015년 03월 03일","382.00","379.00","382.75","375.75","13.91K","0.86%"
"2015년 03월 02일","378.75","383.00","385.50","377.50","16.97K","-1.50%"
"2015년 02월 27일","384.50","379.00","387.25","377.00","35.37K","1.18%"
"2015년 02월 26일","380.00","376.00","382.25","375.00","95.57K","1.13%"
"2015년 02월 25일","375.75","378.00","379.50","371.50","115.84K","-0.46%"
"2015년 02월 24일","377.50","379.00","387.00","377.50","207.23K","-0.33%"
"2015년 02월 23일","378.75","385.25","386.00","377.50","142.80K","-1.69%"
"2015년 02월 20일","385.25","389.00","389.50","383.50","131.26K","-1.15%"
"2015년 02월 19일","389.75","383.75","391.25","382.25","176.13K","1.56%"
"2015년 02월 18일","383.75","389.00","390.50","383.00","162.32K","-1.48%"
"2015년 02월 17일","389.50","387.00","391.00","385.00","164.64K","0.58%"
"2015년 02월 13일","387.25","383.00","388.50","382.25","167.27K","1.11%"
"2015년 02월 12일","383.00","385.25","387.75","381.25","169.38K","-0.71%"
"2015년 02월 11일","385.75","388.00","389.75","384.00","178.88K","-0.58%"
"2015년 02월 10일","388.00","390.75","391.50","384.50","209.35K","-0.83%"
