"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 07월 22일","593.63","585.63","609.88","584.00","-","1.34%"
"2010년 07월 21일","585.75","575.63","593.88","574.25","-","1.78%"
"2010년 07월 20일","575.50","577.25","580.63","572.88","-","-0.41%"
"2010년 07월 19일","577.88","593.75","597.50","575.38","-","-2.65%"
"2010년 07월 18일","593.63","588.88","595.63","581.13","-","0.91%"
"2010년 07월 16일","588.25","597.00","597.38","579.00","-","-1.45%"
"2010년 07월 15일","596.88","556.25","598.38","555.63","-","7.18%"
"2010년 07월 14일","556.88","549.13","565.13","545.38","-","1.37%"
"2010년 07월 13일","549.38","533.63","550.88","530.88","-","2.98%"
"2010년 07월 12일","533.50","536.25","541.38","533.38","-","-0.54%"
"2010년 07월 11일","536.38","537.50","537.50","534.25","-","-0.28%"
"2010년 07월 09일","537.88","544.63","545.13","533.13","-","-1.22%"
"2010년 07월 08일","544.50","530.00","549.00","524.63","-","2.74%"
"2010년 07월 07일","530.00","507.25","531.88","506.25","-","4.48%"
"2010년 07월 06일","507.25","504.50","525.88","504.13","-","0.57%"
"2010년 07월 05일","504.38","502.63","504.38","500.13","-","0.35%"
"2010년 07월 04일","502.63","502.63","502.63","502.63","-","-0.15%"
"2010년 07월 02일","503.38","497.38","507.88","495.88","-","1.31%"
"2010년 07월 01일","496.88","479.38","503.63","475.38","-","3.68%"
"2010년 06월 30일","479.25","459.63","486.63","459.63","-","4.95%"
"2010년 06월 29일","456.63","457.75","459.88","455.13","-","-1.70%"
"2010년 06월 28일","464.50","467.88","468.13","459.63","-","-1.41%"
"2010년 06월 25일","471.13","478.25","478.88","470.38","-","-1.41%"
"2010년 06월 24일","477.88","478.25","483.63","474.88","-","0.45%"
"2010년 06월 23일","475.75","476.63","481.88","475.13","-","-0.08%"
"2010년 06월 22일","476.13","477.38","478.63","472.38","-","-0.26%"
"2010년 06월 21일","477.38","484.50","484.63","472.13","-","0.18%"
"2010년 06월 18일","476.50","477.63","485.88","475.25","-","-0.55%"
"2010년 06월 17일","479.13","460.63","479.13","453.75","-","3.96%"
"2010년 06월 16일","460.88","451.88","467.88","451.63","-","1.99%"
"2010년 06월 15일","451.88","450.88","456.13","446.00","-","0.11%"
"2010년 06월 14일","451.38","447.00","454.63","444.00","-","1.01%"
"2010년 06월 13일","446.88","442.63","447.63","441.63","-","1.53%"
"2010년 06월 11일","440.13","433.88","448.50","427.75","-","1.50%"
"2010년 06월 10일","433.63","427.38","437.38","427.25","-","1.46%"
"2010년 06월 09일","427.38","432.13","435.88","425.63","-","-1.16%"
"2010년 06월 08일","432.38","433.38","436.38","431.38","-","-0.17%"
"2010년 06월 07일","433.13","435.38","438.38","431.38","-","-0.57%"
"2010년 06월 06일","435.63","435.38","436.38","434.88","-","0.06%"
"2010년 06월 04일","435.38","443.88","444.13","435.38","-","-1.97%"
"2010년 06월 03일","444.13","444.25","447.75","440.75","-","-0.06%"
"2010년 06월 02일","444.38","451.38","454.38","442.13","-","-1.58%"
"2010년 06월 01일","451.50","458.25","461.13","449.13","-","-1.50%"
"2010년 05월 31일","458.38","458.00","459.38","457.13","-","0.16%"
"2010년 05월 30일","457.63","457.63","457.63","457.63","-","0.05%"
"2010년 05월 28일","457.38","469.88","473.38","456.63","-","-2.69%"
"2010년 05월 27일","470.00","461.63","473.13","461.38","-","1.81%"
"2010년 05월 26일","461.63","462.38","471.13","458.63","-","-0.19%"
"2010년 05월 25일","462.50","466.38","466.50","456.38","-","-0.78%"
"2010년 05월 24일","466.13","472.13","475.63","465.38","-","-1.30%"
"2010년 05월 23일","472.25","472.88","473.25","471.88","-","0.03%"
"2010년 05월 21일","472.13","467.75","474.88","466.88","-","1.07%"
"2010년 05월 20일","467.13","470.88","472.00","461.63","-","-0.77%"
"2010년 05월 19일","470.75","467.00","471.88","465.50","-","0.78%"
"2010년 05월 18일","467.13","469.88","473.38","466.13","-","-0.56%"
"2010년 05월 17일","469.75","471.13","474.13","466.38","-","-0.29%"
"2010년 05월 16일","471.13","471.13","471.38","470.63","-","-0.16%"
"2010년 05월 14일","471.88","480.88","481.13","471.13","-","-1.82%"
"2010년 05월 13일","480.63","490.63","492.75","477.88","-","-2.01%"
"2010년 05월 12일","490.50","493.25","508.13","490.38","-","-0.63%"
"2010년 05월 11일","493.63","493.25","497.88","489.13","-","-0.05%"
"2010년 05월 10일","493.88","508.00","514.38","491.63","-","-2.80%"
"2010년 05월 09일","508.13","510.88","511.75","506.13","-","-0.05%"
"2010년 05월 07일","508.38","503.50","516.88","498.75","-","0.94%"
"2010년 05월 06일","503.63","512.00","513.88","500.38","-","-1.71%"
"2010년 05월 05일","512.38","512.63","513.13","502.38","-","0.00%"
"2010년 05월 04일","512.38","500.50","513.00","493.38","-","2.40%"
"2010년 05월 03일","500.38","502.00","507.50","491.63","-","-0.94%"
"2010년 04월 30일","505.13","495.13","505.13","493.38","-","1.99%"
"2010년 04월 29일","495.25","489.63","507.38","488.88","-","1.10%"
"2010년 04월 28일","489.88","489.63","495.88","482.38","-","0.03%"
"2010년 04월 27일","489.75","488.13","492.88","484.88","-","0.28%"
"2010년 04월 26일","488.38","505.88","514.63","485.63","-","-3.34%"
"2010년 04월 25일","505.25","503.63","506.13","503.25","-","-0.35%"
"2010년 04월 23일","507.00","508.38","511.88","502.13","-","-0.29%"
"2010년 04월 22일","508.50","499.75","511.63","493.13","-","1.78%"
"2010년 04월 21일","499.63","498.75","502.13","493.88","-","0.15%"
"2010년 04월 20일","498.88","481.75","499.38","481.63","-","3.64%"
"2010년 04월 19일","481.38","499.75","501.13","478.63","-","-3.70%"
"2010년 04월 18일","499.88","500.38","500.38","499.13","-","2.12%"
"2010년 04월 16일","489.50","480.38","491.13","477.63","-","1.90%"
"2010년 04월 15일","480.38","473.75","482.63","473.75","-","1.37%"
"2010년 04월 14일","473.88","476.38","481.88","470.63","-","-0.47%"
"2010년 04월 13일","476.13","465.88","476.38","463.88","-","1.93%"
"2010년 04월 12일","467.13","466.13","474.25","466.13","-","0.21%"
"2010년 04월 09일","466.13","476.25","478.38","462.88","-","-0.64%"
"2010년 04월 08일","469.13","470.25","473.13","467.13","-","-1.34%"
"2010년 04월 07일","475.50","463.38","476.38","456.38","-","2.62%"
"2010년 04월 06일","463.38","451.38","469.88","450.25","-","2.18%"
"2010년 04월 05일","453.50","454.38","454.63","447.13","-","-0.58%"
"2010년 04월 01일","456.13","450.88","456.13","449.75","-","1.28%"
"2010년 03월 31일","450.38","473.25","473.25","450.38","-","-4.86%"
"2010년 03월 30일","473.38","465.63","473.38","464.13","-","1.94%"
"2010년 03월 29일","464.38","464.63","469.63","464.13","-","-0.11%"
"2010년 03월 26일","464.88","465.50","467.88","464.13","-","-0.27%"
"2010년 03월 25일","466.13","476.13","476.13","464.63","-","-2.07%"
"2010년 03월 24일","476.00","474.13","478.63","472.38","-","0.03%"
"2010년 03월 23일","475.88","484.75","487.38","475.88","-","-2.31%"
"2010년 03월 22일","487.13","484.63","492.63","482.38","-","0.49%"
"2010년 03월 19일","484.75","489.50","490.50","483.13","-","-0.95%"
"2010년 03월 18일","489.38","488.88","492.63","484.63","-","-1.31%"
"2010년 03월 17일","495.88","487.13","498.13","486.13","-","1.74%"
"2010년 03월 16일","487.38","482.13","488.88","482.13","-","1.83%"
"2010년 03월 15일","478.63","485.13","486.63","477.63","-","-1.34%"
"2010년 03월 12일","485.13","481.88","485.88","479.13","-","1.41%"
"2010년 03월 11일","478.38","478.38","481.38","475.63","-","-0.57%"
"2010년 03월 10일","481.13","488.88","491.88","478.88","-","-1.69%"
"2010년 03월 09일","489.38","494.38","494.38","488.13","-","-1.06%"
"2010년 03월 08일","494.63","493.13","498.63","493.13","-","0.30%"
"2010년 03월 05일","493.13","507.38","508.25","492.38","-","-1.94%"
"2010년 03월 04일","502.88","516.38","516.38","499.38","-","-2.47%"
"2010년 03월 03일","515.63","504.00","517.38","504.00","-","2.31%"
"2010년 03월 02일","504.00","504.75","509.63","498.38","-","-0.15%"
"2010년 03월 01일","504.75","519.63","519.63","498.50","-","-2.77%"
"2010년 02월 26일","519.13","503.50","519.88","503.50","-","3.03%"
"2010년 02월 25일","503.88","513.88","513.88","502.13","-","-1.99%"
"2010년 02월 24일","514.13","505.88","515.88","505.88","-","1.58%"
"2010년 02월 23일","506.13","513.13","515.13","505.13","-","-1.36%"
"2010년 02월 22일","513.13","503.13","517.50","499.38","-","4.96%"
"2010년 02월 19일","488.88","483.38","490.13","482.63","-","1.03%"
"2010년 02월 18일","483.88","498.13","498.13","483.13","-","-2.22%"
"2010년 02월 17일","494.88","501.88","502.38","492.63","-","-1.98%"
"2010년 02월 16일","504.88","498.63","508.88","498.63","-","3.96%"
"2010년 02월 12일","485.63","484.25","487.25","480.50","-","-1.20%"
"2010년 02월 11일","491.50","495.13","501.38","486.63","-","-1.08%"
"2010년 02월 10일","496.88","482.63","502.88","480.88","-","3.03%"
"2010년 02월 09일","482.25","484.38","488.38","476.88","-","-0.44%"
"2010년 02월 08일","484.38","479.13","488.88","478.63","-","2.16%"
"2010년 02월 05일","474.13","477.00","477.00","467.13","-","-0.32%"
"2010년 02월 04일","475.63","467.38","481.88","466.63","-","1.17%"
"2010년 02월 03일","470.13","485.38","485.50","468.50","-","-3.47%"
"2010년 02월 02일","487.00","481.00","492.38","479.75","-","2.66%"
"2010년 02월 01일","474.38","475.00","483.63","473.63","-","0.26%"
"2010년 01월 31일","473.13","473.13","473.13","473.13","-","0.00%"
"2010년 01월 29일","473.13","486.38","487.88","473.13","-","-2.85%"
"2010년 01월 28일","487.00","485.13","489.13","483.13","-","0.46%"
"2010년 01월 27일","484.75","492.38","493.63","483.13","-","-1.67%"
"2010년 01월 26일","493.00","497.75","497.75","491.63","-","-0.98%"
"2010년 01월 25일","497.88","498.38","503.88","496.50","-","-0.05%"
"2010년 01월 22일","498.13","500.38","501.88","495.13","-","-0.45%"
"2010년 01월 21일","500.38","498.25","500.38","493.13","-","2.35%"
"2010년 01월 20일","488.88","499.38","499.38","485.38","-","-2.08%"
"2010년 01월 19일","499.25","509.88","509.88","497.00","-","-2.08%"
"2010년 01월 18일","509.88","509.88","509.88","509.88","-","0.00%"
"2010년 01월 15일","509.88","527.13","527.13","509.38","-","-3.27%"
"2010년 01월 14일","527.13","534.88","534.88","526.13","-","-1.49%"
"2010년 01월 13일","535.13","537.88","537.88","519.63","-","-0.51%"
"2010년 01월 12일","537.88","574.25","574.25","520.88","-","-6.33%"
"2010년 01월 11일","574.25","568.13","574.50","563.88","-","1.08%"
"2010년 01월 08일","568.13","556.63","569.63","553.88","-","2.07%"
"2010년 01월 07일","556.63","567.00","567.00","556.38","-","-1.85%"
"2010년 01월 06일","567.13","552.63","567.63","551.25","-","2.62%"
