"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 07월 18일","80.50","80.95","81.25","79.90","17.67K","-12.88%"
"2017년 07월 17일","92.40","92.55","92.58","92.30","1.79K","-0.22%"
"2017년 07월 14일","92.60","92.75","92.75","92.35","1.77K","-0.16%"
"2017년 07월 13일","92.75","92.60","92.83","92.45","2.93K","0.18%"
"2017년 07월 12일","92.58","92.50","92.65","92.38","2.43K","0.47%"
"2017년 07월 11일","92.15","91.92","92.28","91.83","3.17K","0.74%"
"2017년 07월 10일","91.47","91.92","92.08","91.33","2.74K","-0.27%"
"2017년 07월 07일","91.72","91.78","92.10","91.55","3.72K","0.27%"
"2017년 07월 06일","91.47","92.47","92.47","91.20","5.08K","-0.63%"
"2017년 07월 05일","92.05","91.30","92.58","91.15","4.79K","1.49%"
"2017년 07월 03일","90.70","91.05","91.08","90.05","3.24K","0.09%"
"2017년 06월 30일","90.62","89.97","90.85","89.80","7.01K","1.29%"
"2017년 06월 29일","89.47","88.25","89.65","88.15","6.27K","1.76%"
"2017년 06월 28일","87.92","86.90","88.00","86.58","7.11K","1.68%"
"2017년 06월 27일","86.47","87.30","87.40","86.25","5.88K","-0.64%"
"2017년 06월 26일","87.03","85.67","87.72","85.55","8.42K","2.03%"
"2017년 06월 23일","85.30","85.15","85.35","84.10","7.54K","0.32%"
"2017년 06월 22일","85.03","85.95","85.97","84.50","7.45K","-1.22%"
"2017년 06월 21일","86.08","85.60","86.40","85.40","12.48K","1.27%"
"2017년 06월 20일","85.00","84.50","85.28","84.20","14.30K","1.31%"
"2017년 06월 19일","83.90","82.97","84.38","82.88","18.85K","1.91%"
"2017년 06월 16일","82.33","82.20","82.80","81.65","11.31K","0.34%"
"2017년 06월 15일","82.05","82.85","83.45","80.72","16.41K","-1.14%"
"2017년 06월 14일","83.00","82.78","83.05","82.70","2.24K","0.27%"
"2017년 06월 13일","82.78","82.25","82.85","82.20","3.73K","0.99%"
"2017년 06월 12일","81.97","82.30","82.50","81.90","3.02K","-0.61%"
"2017년 06월 09일","82.47","82.40","82.60","82.25","2.10K","0.54%"
"2017년 06월 08일","82.03","81.95","82.35","81.78","3.70K","0.50%"
"2017년 06월 07일","81.62","81.90","82.22","81.50","5.01K","-0.04%"
"2017년 06월 06일","81.65","81.22","82.35","80.92","5.91K","1.15%"
"2017년 06월 05일","80.72","81.10","81.72","80.45","5.25K","-0.62%"
"2017년 06월 02일","81.22","81.25","81.65","80.88","5.11K","0.37%"
"2017년 06월 01일","80.92","82.38","82.38","80.67","6.22K","-1.22%"
"2017년 05월 31일","81.92","80.90","82.67","80.78","8.90K","1.76%"
"2017년 05월 30일","80.50","81.65","81.70","80.40","6.17K","-1.63%"
"2017년 05월 26일","81.83","81.20","81.88","80.85","5.34K","1.09%"
"2017년 05월 25일","80.95","80.28","81.08","79.60","6.50K","0.94%"
"2017년 05월 24일","80.20","80.50","80.95","80.03","6.09K","0.06%"
"2017년 05월 23일","80.15","78.92","80.28","78.90","8.19K","1.01%"
"2017년 05월 22일","79.35","79.08","79.75","78.65","6.11K","-0.19%"
"2017년 05월 19일","79.50","78.67","79.55","78.33","8.64K","0.44%"
"2017년 05월 18일","79.15","78.62","79.25","77.95","11.41K","0.32%"
"2017년 05월 17일","78.90","79.22","79.95","78.80","15.30K","0.23%"
"2017년 05월 16일","78.72","77.10","79.10","76.42","15.73K","1.90%"
"2017년 05월 15일","77.25","78.05","78.25","77.05","14.80K","7.44%"
"2017년 05월 12일","71.90","71.65","72.10","71.65","0.16K","0.52%"
"2017년 05월 11일","71.53","71.45","71.75","71.45","0.29K","0.68%"
"2017년 05월 10일","71.05","70.72","71.35","70.72","0.38K","1.07%"
"2017년 05월 09일","70.30","70.30","70.65","70.10","0.28K","0.57%"
"2017년 05월 08일","69.90","69.25","70.10","69.25","0.24K","0.72%"
"2017년 05월 05일","69.40","69.50","69.50","69.15","0.24K","0.58%"
"2017년 05월 04일","69.00","68.47","69.50","68.35","0.51K","1.55%"
"2017년 05월 03일","67.95","67.50","68.20","67.50","0.34K","1.49%"
"2017년 05월 02일","66.95","66.50","67.12","66.50","0.28K","1.26%"
"2017년 05월 01일","66.12","67.00","67.38","66.03","0.20K","-1.27%"
"2017년 04월 28일","66.97","66.70","67.25","66.60","0.21K","0.10%"
"2017년 04월 27일","66.90","65.25","67.62","65.25","0.52K","3.45%"
"2017년 04월 26일","64.67","65.28","66.42","64.60","0.37K","-0.84%"
"2017년 04월 25일","65.22","64.30","65.85","64.30","0.68K","1.27%"
"2017년 04월 24일","64.40","62.80","64.47","62.80","0.44K","2.19%"
"2017년 04월 21일","63.02","63.50","63.90","62.50","0.67K","-1.22%"
"2017년 04월 20일","63.80","65.53","65.75","63.60","0.63K","-3.16%"
"2017년 04월 19일","65.88","66.67","66.67","65.83","0.31K","-1.89%"
"2017년 04월 18일","67.15","67.90","67.90","66.08","0.25K","8.34%"
"2017년 04월 17일","61.98","62.15","62.15","61.88","1.61K","-0.75%"
"2017년 04월 13일","62.45","62.25","62.52","62.15","1.87K","0.35%"
"2017년 04월 12일","62.23","62.70","62.90","62.17","3.28K","-0.67%"
"2017년 04월 11일","62.65","63.30","63.40","62.58","5.08K","-1.07%"
"2017년 04월 10일","63.33","63.50","63.52","63.12","2.35K","0.00%"
"2017년 04월 07일","63.33","63.70","63.85","63.23","3.74K","-0.92%"
"2017년 04월 06일","63.92","63.90","64.00","63.38","3.72K","0.47%"
"2017년 04월 05일","63.62","63.77","63.90","63.42","4.75K","-0.08%"
"2017년 04월 04일","63.67","64.80","64.95","63.58","4.45K","-1.74%"
"2017년 04월 03일","64.80","65.55","65.97","64.72","4.23K","-1.32%"
"2017년 03월 31일","65.67","65.88","65.88","64.85","4.24K","0.08%"
"2017년 03월 30일","65.62","65.17","65.95","64.67","7.44K","0.49%"
"2017년 03월 29일","65.30","65.50","65.83","64.70","5.23K","0.31%"
"2017년 03월 28일","65.10","66.03","66.12","65.03","5.42K","-0.84%"
"2017년 03월 27일","65.65","67.05","67.08","65.58","7.22K","-2.42%"
"2017년 03월 24일","67.28","69.35","69.42","67.12","11.34K","-2.98%"
"2017년 03월 23일","69.35","68.38","69.62","67.60","16.47K","1.76%"
"2017년 03월 22일","68.15","68.22","68.72","67.92","9.33K","0.22%"
"2017년 03월 21일","68.00","68.78","68.88","67.72","12.39K","-0.95%"
"2017년 03월 20일","68.65","69.12","69.28","68.30","12.32K","-0.58%"
"2017년 03월 17일","69.05","69.50","69.78","68.78","13.12K","-1.22%"
"2017년 03월 16일","69.90","70.38","70.42","69.38","12.89K","-0.26%"
"2017년 03월 15일","70.08","70.50","70.78","69.80","15.58K","-1.06%"
