"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2011년 05월 13일","1,764.55","1,772.35","1,786.80","1,757.50","-","-0.43%"
"2011년 05월 12일","1,772.25","1,777.55","1,784.90","1,752.05","-","-0.35%"
"2011년 05월 11일","1,778.55","1,801.15","1,811.95","1,775.20","-","-1.34%"
"2011년 05월 10일","1,802.65","1,798.70","1,808.05","1,788.70","-","0.28%"
"2011년 05월 09일","1,797.60","1,787.70","1,802.10","1,784.50","-","0.51%"
"2011년 05월 08일","1,788.40","1,783.55","1,788.90","1,778.80","-","-0.09%"
"2011년 05월 06일","1,789.95","1,773.70","1,804.05","1,772.70","-","0.92%"
"2011년 05월 05일","1,773.65","1,828.05","1,832.65","1,756.25","-","-2.86%"
"2011년 05월 04일","1,825.95","1,857.65","1,859.10","1,817.75","-","-1.71%"
"2011년 05월 03일","1,857.65","1,865.20","1,871.75","1,847.45","-","-0.23%"
"2011년 05월 02일","1,861.85","1,860.85","1,884.60","1,835.75","-","0.05%"
"2011년 05월 01일","1,860.90","1,882.00","1,890.15","1,860.90","-","-0.75%"
"2011년 04월 29일","1,875.05","1,841.65","1,881.90","1,840.50","-","1.82%"
"2011년 04월 28일","1,841.50","1,828.50","1,851.65","1,820.60","-","0.71%"
"2011년 04월 27일","1,828.55","1,813.30","1,832.50","1,805.40","-","0.88%"
"2011년 04월 26일","1,812.65","1,824.30","1,825.20","1,792.25","-","-0.62%"
"2011년 04월 25일","1,824.05","1,825.85","1,843.95","1,812.15","-","-0.08%"
"2011년 04월 24일","1,825.45","1,821.55","1,828.50","1,819.70","-","0.38%"
"2011년 04월 22일","1,818.55","1,818.55","1,818.55","1,818.55","-","-0.00%"
"2011년 04월 21일","1,818.60","1,804.60","1,821.85","1,802.25","-","0.78%"
"2011년 04월 20일","1,804.45","1,780.85","1,813.10","1,775.45","-","1.37%"
"2011년 04월 19일","1,780.10","1,785.00","1,790.70","1,765.50","-","-0.31%"
"2011년 04월 18일","1,785.55","1,797.00","1,799.75","1,774.65","-","-0.57%"
"2011년 04월 17일","1,795.85","1,795.20","1,796.90","1,791.05","-","0.26%"
"2011년 04월 15일","1,791.15","1,800.75","1,801.55","1,788.65","-","-0.46%"
"2011년 04월 14일","1,799.50","1,780.65","1,800.35","1,770.35","-","1.05%"
"2011년 04월 13일","1,780.75","1,773.40","1,793.30","1,769.25","-","0.33%"
"2011년 04월 12일","1,774.95","1,780.85","1,796.35","1,770.70","-","-0.36%"
"2011년 04월 11일","1,781.35","1,820.45","1,821.35","1,780.50","-","-2.17%"
"2011년 04월 10일","1,820.90","1,817.55","1,820.90","1,802.75","-","0.25%"
"2011년 04월 08일","1,816.35","1,786.80","1,821.10","1,778.90","-","1.61%"
"2011년 04월 07일","1,787.60","1,802.35","1,809.10","1,777.85","-","-0.74%"
"2011년 04월 06일","1,800.90","1,799.30","1,816.40","1,790.80","-","0.14%"
"2011년 04월 05일","1,798.40","1,787.45","1,800.50","1,784.60","-","0.49%"
"2011년 04월 04일","1,789.60","1,776.05","1,792.75","1,765.00","-","0.77%"
"2011년 04월 03일","1,775.85","1,769.65","1,776.15","1,768.00","-","0.42%"
"2011년 04월 01일","1,768.40","1,773.30","1,785.25","1,756.00","-","-0.40%"
"2011년 03월 31일","1,775.45","1,771.60","1,788.70","1,765.05","-","0.33%"
"2011년 03월 30일","1,769.60","1,746.25","1,780.35","1,746.25","-","1.50%"
"2011년 03월 29일","1,743.50","1,745.05","1,755.65","1,739.25","-","-0.11%"
"2011년 03월 28일","1,745.35","1,747.80","1,756.05","1,729.35","-","-0.22%"
"2011년 03월 27일","1,749.20","1,752.10","1,753.10","1,747.30","-","-0.27%"
"2011년 03월 25일","1,753.85","1,759.35","1,760.10","1,747.55","-","-0.20%"
"2011년 03월 24일","1,757.40","1,762.40","1,772.45","1,755.00","-","-0.31%"
"2011년 03월 23일","1,762.90","1,743.35","1,767.55","1,738.40","-","1.03%"
"2011년 03월 22일","1,744.85","1,749.20","1,756.85","1,736.15","-","-0.23%"
"2011년 03월 21일","1,748.80","1,730.45","1,757.85","1,729.95","-","1.07%"
"2011년 03월 20일","1,730.35","1,726.55","1,741.00","1,725.70","-","0.32%"
"2011년 03월 18일","1,724.80","1,710.45","1,727.40","1,701.45","-","0.84%"
"2011년 03월 17일","1,710.35","1,687.35","1,710.45","1,659.55","-","1.37%"
"2011년 03월 16일","1,687.25","1,700.40","1,729.90","1,681.20","-","-0.81%"
"2011년 03월 15일","1,701.00","1,752.40","1,758.10","1,692.70","-","-2.96%"
"2011년 03월 14일","1,752.95","1,773.45","1,775.05","1,739.90","-","-1.30%"
"2011년 03월 13일","1,776.00","1,784.25","1,786.60","1,774.15","-","-0.36%"
"2011년 03월 11일","1,782.45","1,769.75","1,785.35","1,758.45","-","0.71%"
"2011년 03월 10일","1,769.85","1,801.25","1,809.55","1,756.15","-","-1.82%"
"2011년 03월 09일","1,802.65","1,807.20","1,820.80","1,794.25","-","-0.24%"
"2011년 03월 08일","1,807.05","1,817.05","1,819.75","1,794.40","-","-0.57%"
"2011년 03월 07일","1,817.45","1,843.95","1,847.25","1,802.60","-","-1.55%"
"2011년 03월 06일","1,846.00","1,843.45","1,846.00","1,842.45","-","0.12%"
"2011년 03월 04일","1,843.75","1,830.55","1,846.20","1,828.65","-","0.75%"
